video_path,error_flg_0,error_flg_1,error_flg_2,error_flg_3,error_flg_4
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61db413b72887633f8476f8e__BY__29__FEMALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61db413b72887633f8476f8e__BY__29__FEMALE__4.mp4,1,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61db424b95b7c503d532314e__BY__30__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61db424b95b7c503d532314e__BY__30__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc197cfc12a127ad0a92d6__BY__36__FEMALE__3.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc197cfc12a127ad0a92d6__BY__36__FEMALE__4.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc1ab78a830933a6242466__BY__27__FEMALE__3.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc1ab78a830933a6242466__BY__27__FEMALE__4.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc1afaeae6cc347caa18b2__KZ__49__nan__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc1afaeae6cc347caa18b2__KZ__49__nan__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc1b4b404d193dcf1d1588__BY__30__FEMALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc1b4b404d193dcf1d1588__BY__30__FEMALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc1b5ffc12a127ad0aa3af__UA__25__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc1b75442e6e7ab9a44e25__UA__27__FEMALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc1bc5404d193dcf1d1c92__BY__33__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc1bc5404d193dcf1d1c92__BY__33__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc226b7a111063a924c15d__UA__41__FEMALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc226b7a111063a924c15d__UA__41__FEMALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc23db0bb39901a4bbaf9f__UA__55__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc23ec8146941912eec49d__RU__27__FEMALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc23ec8146941912eec49d__RU__27__FEMALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc24148a31ae507ce522f0__UA__55__FEMALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc24bfdcec913ad2c14a4a__UA__35__FEMALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc24bfdcec913ad2c14a4a__UA__35__FEMALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc2ccf404d193dcf1e1809__BY__42__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc2ccf404d193dcf1e1809__BY__42__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc2da75720ef269ac83989__UA__22__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc2da75720ef269ac83989__UA__22__MALE__4.mp4,0,0,0,0,0
